item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
79521667,EKET,Chests of drawers & drawer units,"SR1,318",No old price,TRUE,https://www.ikea.com/sa/en/p/eket-wall-mounted-cabinet-combination-white-light-grey-blue-s79521667/,Yes,"Wall-mounted cabinet combination, white/light grey-blue,",Unknown,,,
99904392,PAX,Wardrobes,"SR1,040","SR1,150",TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-with-2-doors-white-fardal-high-gloss-white-s99904392/,Yes,"Wardrobe with 2 doors, white/Fardal high-gloss/white,",IKEA of Sweden,,,
99541947,ALEX,Chests of drawers & drawer units,SR375,No old price,TRUE,https://www.ikea.com/sa/en/p/alex-storage-unit-on-castors-grey-turquoise-black-s99541947/,Yes,"Storage unit on castors, grey-turquoise/black,",Unknown,,,
9388191,BERGMUND,Bar furniture,SR445,SR465,TRUE,https://www.ikea.com/sa/en/p/bergmund-bar-stool-with-backrest-white-orrsta-light-grey-s09388191/,Yes,"Bar stool with backrest, white/Orrsta light grey,",IKEA of Sweden/K Hagberg/M Hagberg,,,
89420489,BESTÅ,TV & media furniture,"SR1,255",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown-s89420489/,Yes,"TV bench with doors, white/Lappviken/Stubbarp light grey-brown,",Unknown,,,
60131734,GLENN,Bar furniture,SR499,No old price,TRUE,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-60131734/,No,"Bar stool, white/chrome-plated,",Marcus Arvonen,40,66,37
60261037,ARKELSTORP,Tables & desks,"SR1,295",No old price,TRUE,https://www.ikea.com/sa/en/p/arkelstorp-desk-black-60261037/,No,"Desk, black,",Ebba Strandmark,70,74,140
70263856,BILLY,Bookcases & shelving units,SR159,,FALSE,https://www.ikea.com/sa/en/p/billy-height-extension-unit-black-brown-70263856/,Yes,"Height extension unit, black-brown,",IKEA of Sweden,28,35,80
39420298,BESTÅ,TV & media furniture,"SR1,710",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer-s39420298/,Yes,"TV bench with drawers and door, black-brown Hedeviken/dark brown stained oak veneer,",Unknown,,,
50452297,HEMNES,Cabinets & cupboards,"SR1,945",No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown-50452297/,Yes,"Glass-door cabinet with 3 drawers, black-brown/light brown,",Carina Bengs,37,197,90
9480378,TROFAST,Nursery furniture,SR195,SR215,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-with-box-trays-white-turquoise-s09480378/,Yes,"Storage combination with box/trays, white/turquoise,",Unknown,,,
29194427,HEMNES,Beds,"SR2,275",SR300,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-4-storage-boxes-white-stain-s29194427/,Yes,"Bed frame with 4 storage boxes, white stain,",Carina Bengs/IKEA of Sweden,,,
29320652,PLATSA,Cabinets & cupboards,"SR1,540","SR1,640",TRUE,https://www.ikea.com/sa/en/p/platsa-wall-storage-white-fonnes-white-s29320652/,No,"Wall storage, white Fonnes/white,",IKEA of Sweden,,,
99387521,SMÅSTAD / PLATSA,Nursery furniture,SR655,SR680,FALSE,https://www.ikea.com/sa/en/p/smastad-platsa-chest-of-3-drawers-white-white-s99387521/,Yes,"Chest of 3 drawers, white/white,",Unknown,,,
69408676,BESTÅ,TV & media furniture,"SR3,605",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass-s69408676/,Yes,"TV storage combination/glass doors, white/Smeviken/Kabbarp white clear glass,",Unknown,,,
