Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
1987,40208531,ÄPPLARÖ,Outdoor furniture,745.0,No old price,True,https://www.ikea.com/sa/en/p/aepplaroe-drop-leaf-table-outdoor-brown-stained-brown-40208531/,No,"        Drop-leaf table, outdoor,          140/200/260x78 cm",K Hagberg/M Hagberg,,72.0,78.0
2743,50304990,BRUSALI,Tables & desks,325.0,No old price,True,https://www.ikea.com/sa/en/p/brusali-corner-desk-brown-50304990/,No,"        Corner desk,          120x73 cm",IKEA of Sweden,73.0,73.0,120.0
2526,20398754,GRÖNLID,Sofas & armchairs,550.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-2-seat-sofa-bed-section-sporda-natural-20398754/,Yes,        Cover for 2-seat sofa-bed section,Francis Cayouette,,,
2196,79265945,HAVSTA,"Sideboards, buffets & console tables",1950.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,Yes,"        Storage combination w glass doors,          162x37x134 cm",IKEA of Sweden,37.0,134.0,162.0
2592,69111190,NORSBORG,Sofas & armchairs,1220.0,"SR 1,525",True,https://www.ikea.com/sa/en/p/norsborg-cover-for-corner-sofa-5-seat-finnsta-dark-grey-s69111190/,Yes,"        Cover for corner sofa, 5-seat",Ehlén Johansson,,,
1498,69221339,EKEDALEN / HENRIKSDAL,Chairs,1975.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-4-chairs-white-orrsta-light-grey-s69221339/,No,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/IKEA of Sweden,,,
1874,257953,GONATT,Nursery furniture,1095.0,No old price,True,https://www.ikea.com/sa/en/p/gonatt-cot-light-grey-00257953/,No,"        Cot,          60x120 cm",J Asshoff/H Brogård,,103.0,66.0
736,19057483,BESTÅ,Bookcases & shelving units,480.0,No old price,True,https://www.ikea.com/sa/en/p/besta-wall-cabinet-with-2-doors-lappviken-white-s19057483/,Yes,"        Wall cabinet with 2 doors,          60x22x128 cm",IKEA of Sweden,22.0,128.0,60.0
501,10265293,BILLY,Bookcases & shelving units,30.0,No old price,True,https://www.ikea.com/sa/en/p/billy-extra-shelf-white-10265293/,Yes,"        Extra shelf,          36x26 cm",IKEA of Sweden,26.0,,36.0
564,19231152,HEMNES,Bookcases & shelving units,2346.0,"SR 2,485",True,https://www.ikea.com/sa/en/p/hemnes-bookcase-black-brown-s19231152/,Yes,"        Bookcase,          229x197 cm",Carina Bengs,37.0,197.0,229.0
2307,99297484,FLOTTEBO,Sofas & armchairs,1596.0,"SR 1,995",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-purple-s99297484/,Yes,"        Sofa-bed,          90 cm",C Halskov/H Dalsgaard,90.0,79.0,200.0
3121,79046991,BEKANT,Tables & desks,1834.0,"SR 2,590",True,https://www.ikea.com/sa/en/p/bekant-reception-desk-white-s79046991/,No,"        Reception desk,          160x80 120 cm",K Malmvall/E Lilja Löwenhielm,80.0,,
1361,60246080,JANINGE,Chairs,180.0,SR 225,True,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,No,        Chair,John/Jonas/Petrus/Paul/Caroline,46.0,76.0,50.0
2570,19302328,VIMLE,Sofas & armchairs,775.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-dalstorp-multicolour-s19302328/,Yes,        Cover for 2-seat sofa,Ehlén Johansson,,,
1344,90299029,MUREN,Chairs,1395.0,No old price,True,https://www.ikea.com/sa/en/p/muren-recliner-nordvalla-beige-90299029/,Yes,        Recliner,IKEA of Sweden,94.0,97.0,85.0
3442,20390574,STALLARP,TV & media furniture,45.0,No old price,True,https://www.ikea.com/sa/en/p/stallarp-leg-chrome-plated-20390574/,No,        Leg,Carl Öjerstam,4.0,10.0,4.0
1070,20334314,BILLSBRO,Cabinets & cupboards,15.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,No,"        Handle,          40 mm",H Preutz/A Fredriksson,,,
80,89305446,PLATSA,Beds,2600.5,"SR 2,880",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,No,"        Bed frame with 10 doors,          143x244x223 cm",IKEA of Sweden,40.0,43.0,143.0
3489,79248588,PLATSA,Wardrobes,2296.0,"SR 2,870",True,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s79248588/,No,"        Wardrobe,          240x57x251 cm",Ola Wihlborg/IKEA of Sweden,57.0,251.0,240.0
295,50282177,LACK,Bookcases & shelving units,19.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,Yes,"        Wall shelf,          30x26 cm",IKEA of Sweden,26.0,5.0,
3250,80035920,FÖRHÖJA,Trolleys,645.0,No old price,True,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,No,"        Kitchen trolley,          100x43 cm",Nike Karlsson,,90.0,43.0
712,89283005,BROR,Bookcases & shelving units,670.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,No,"        Shelving unit with cabinets,          85x40x110 cm",IKEA of Sweden,40.0,110.0,85.0
3098,30252911,BEKANT,Tables & desks,700.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-white-30252911/,Yes,"        Underframe for table top,          120x80 cm",K Malmvall/E Lilja Löwenhielm,,,80.0
2832,29297294,MELLTORP / NILSOVE,Tables & desks,889.0,SR 915,True,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,No,"        Table and 2 chairs,          75x75 cm",Lisa Norinder/A Fredriksson/J Hultqvist/W Chong,,,75.0
2247,40266682,BOSNÄS,Sofas & armchairs,95.0,No old price,True,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,Yes,        Footstool with storage,IKEA of Sweden,,36.0,36.0
964,60293566,STUBBARP,Cabinets & cupboards,35.0,No old price,True,https://www.ikea.com/sa/en/p/stubbarp-leg-black-brown-60293566/,Yes,        Leg,IKEA of Sweden,44.0,100.0,44.0
1220,90309721,NILSERIK,Chairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/nilserik-standing-support-white-vissle-grey-90309721/,Yes,        Standing support,IKEA of Sweden,,,41.0
1057,29286865,BESTÅ / EKET,Cabinets & cupboards,1578.0,No old price,True,https://www.ikea.com/sa/en/p/besta-eket-cabinet-combination-for-tv-white-light-grey-red-s29286865/,Yes,"        Cabinet combination for TV,          300x42x210 cm",Jon Karlsson/IKEA of Sweden,42.0,210.0,300.0
2514,70306243,FÄRLÖV,Sofas & armchairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/faerloev-cover-for-footstool-with-storage-flodafors-beige-70306243/,Yes,        Cover for footstool with storage,Francis Cayouette,,,
1161,79299016,BUSKBO,Chairs,675.0,No old price,True,https://www.ikea.com/sa/en/p/buskbo-armchair-rattan-djupvik-white-s79299016/,No,        Armchair,IKEA of Sweden/A Fredriksson/J Hultqvist/W Chong,63.0,42.0,72.0
2841,80362974,SLÄKT,Tables & desks,295.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,"        Storage box with castors,          62x62x35 cm",Ebba Strandmark,53.0,35.0,62.0
805,80441556,TIMMERVIKEN,Cabinets & cupboards,100.0,No old price,True,https://www.ikea.com/sa/en/p/timmerviken-door-drawer-front-black-80441556/,No,"        Door/drawer front,          60x38 cm",804.415.56 The front may be used as a door or as a drawer front.You can choose to mount the door on the right or left side.The door keeps your belongings hidden and free from dust.To be completed with BESTÅ hinges if used as door. Sold separately.To be completed with BESTÅ drawer frame 60x25x40 cm and BESTÅ drawer runner if used as drawer front. Sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.,,38.0,60.0
2442,69219505,VIMLE,Sofas & armchairs,1585.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-2-seat-section-orrsta-black-blue-s69219505/,Yes,        2-seat section,Ehlén Johansson,98.0,80.0,141.0
1672,19306185,JONAXEL,Chests of drawers & drawer units,160.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-castors-s19306185/,No,"        Frame with mesh baskets/castors,          25x51x73 cm",IKEA of Sweden,51.0,73.0,25.0
2611,69130037,FLEKKE,Sofas & armchairs,2085.0,No old price,True,https://www.ikea.com/sa/en/p/flekke-day-bed-w-2-drawers-2-mattresses-black-brown-moshult-firm-s69130037/,Yes,"        Day-bed w 2 drawers/2 mattresses,          80x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,,86.0,88.0
3399,19282919,BESTÅ,TV & media furniture,1570.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-black-brown-vassviken-white-clear-glass-s19282919/,Yes,"        Storage combination w glass doors,          120x40x128 cm",IKEA of Sweden/Marcus Arvonen,40.0,128.0,120.0
2676,20045205,SNIGLAR,Tables & desks,145.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,No,"        Changing table,          72x53 cm",IKEA of Sweden,,87.0,53.0
1767,49102304,TROFAST,Children's furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-wall-storage-light-white-stained-pine-pine-white-s49102304/,No,"        Wall storage,          93x21x30 cm",Studio Copenhagen/Mia Lagerman,21.0,30.0,
