,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
0,0,0,0,79265945,HAVSTA,"Sideboards, buffets & console tables",1950.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,Yes,"        Storage combination w glass doors,          162x37x134 cm",IKEA of Sweden,37.0,134.0,162.0,White,"https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0720158_pe732452_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0846159_pe718300_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0730888_pe737834_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0675362_pe718286_s5.jpg?f=s"
1,1,1,2,60246080,JANINGE,Chairs,180.0,SR 225,True,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,No,        Chair,John/Jonas/Petrus/Paul/Caroline,46.0,76.0,50.0,"White,Yellow","https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0728157_pe736124_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750191_ph158828_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750188_ph129152_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750196_ph129430_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053287_pe846877_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053288_pe846878_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0874315_pe590611_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053286_pe846876_s5.jpg?f=s"
2,2,2,3,20334314,BILLSBRO,Cabinets & cupboards,15.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,No,"        Handle,          40 mm",H Preutz/A Fredriksson,,,,"Stainless steel colour,White","https://www.ikea.com/sa/en/images/products/billsbro-handle-white__0754303_pe747884_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/billsbro-handle-white__0872222_pe719905_s5.jpg?f=s"
3,3,3,4,50282177,LACK,Bookcases & shelving units,19.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,Yes,"        Wall shelf,          30x26 cm",IKEA of Sweden,26.0,5.0,,White,"https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0641086_pe700251_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0675547_pe718390_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0670320_pe715445_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0670325_pe715453_s5.jpg?f=s"
4,4,4,6,89283005,BROR,Bookcases & shelving units,670.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,No,"        Shelving unit with cabinets,          85x40x110 cm",IKEA of Sweden,40.0,110.0,85.0,Black,"https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0675863_pe718509_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0909899_pe718507_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0910732_pe718505_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0910749_pe718508_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__1096861_pe864562_s5.jpg?f=s"
5,5,5,8,40266682,BOSNÄS,Sofas & armchairs,95.0,No old price,True,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,Yes,        Footstool with storage,IKEA of Sweden,,36.0,36.0,Ransta black,"https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__0241131_pe381202_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040486_ph161633_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040483_ph163545_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040478_ph166511_s5.jpg?f=s"
6,6,6,12,20045205,SNIGLAR,Tables & desks,145.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,No,"        Changing table,          72x53 cm",IKEA of Sweden,,87.0,53.0,Beech/white,"https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0627299_pe693283_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0996511_pe822557_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0948638_ph157791_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__1095877_pe864073_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0874168_pe611038_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__1191088_pe900454_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0743727_ph157789_s5.jpg?f=s"
7,7,7,16,80336466,KROKHOLMEN,Outdoor furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,No,"        Coffee table, outdoor",Marcus Arvonen,,44.0,,Outdoor,"https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0736456_pe740544_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0673257_pe717137_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0795603_ph165852_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0789771_ph159263_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0622854_ph148350_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0906021_pe675871_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0906100_pe668447_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0943748_pe797032_s5.jpg?f=s"
8,8,8,19,59829111,POÄNG,Sofas & armchairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-footstool-birch-veneer-robust-glose-dark-brown-s59829111/,Yes,        Footstool,Noboru Nakamura,54.0,39.0,68.0,Birch veneer/glose dark brown,"https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__55433_pe160519_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0841102_pe601079_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0842763_pe585369_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0840366_pe585885_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0915287_pe784683_s5.jpg?f=s"
9,9,9,20,89305173,NORDVIKEN / NORRARYD,Tables & desks,2535.0,"SR 2,795",True,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s89305173/,No,"        Table and 4 chairs,          152/223x95 cm",Nike Karlsson/Francis Cayouette,,,95.0,White/black,"https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0747593_pe744613_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0947713_pe798625_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0949342_pe799652_s5.jpg?f=s"
