item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
79265945,HAVSTA,"Sideboards, buffets & console tables",1950,No old price,TRUE,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,Yes,"        Storage combination w glass doors,          162x37x134 cm",IKEA of Sweden,37,134,162
10265293,BILLY,Bookcases & shelving units,30,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-extra-shelf-white-10265293/,Yes,"        Extra shelf,          36x26 cm",IKEA of Sweden,26,,36
60246080,JANINGE,Chairs,180,SR 225,TRUE,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,No,        Chair,John/Jonas/Petrus/Paul/Caroline,46,76,50
20334314,BILLSBRO,Cabinets & cupboards,15,No old price,TRUE,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,No,"        Handle,          40 mm",H Preutz/A Fredriksson,,,
50282177,LACK,Bookcases & shelving units,19,No old price,TRUE,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,Yes,"        Wall shelf,          30x26 cm",IKEA of Sweden,26,5,
80035920,FÖRHÖJA,Trolleys,645,No old price,TRUE,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,No,"        Kitchen trolley,          100x43 cm",Nike Karlsson,,90,43
89283005,BROR,Bookcases & shelving units,670,No old price,TRUE,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,No,"        Shelving unit with cabinets,          85x40x110 cm",IKEA of Sweden,40,110,85
29297294,MELLTORP / NILSOVE,Tables & desks,889,SR 915,TRUE,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,No,"        Table and 2 chairs,          75x75 cm",Lisa Norinder/A Fredriksson/J Hultqvist/W Chong,,,75
40266682,BOSNÄS,Sofas & armchairs,95,No old price,TRUE,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,Yes,        Footstool with storage,IKEA of Sweden,,36,36
60293566,STUBBARP,Cabinets & cupboards,35,No old price,TRUE,https://www.ikea.com/sa/en/p/stubbarp-leg-black-brown-60293566/,Yes,        Leg,IKEA of Sweden,44,100,44
80362974,SLÄKT,Tables & desks,295,No old price,TRUE,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,"        Storage box with castors,          62x62x35 cm",Ebba Strandmark,53,35,62
19306185,JONAXEL,Chests of drawers & drawer units,160,No old price,TRUE,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-castors-s19306185/,No,"        Frame with mesh baskets/castors,          25x51x73 cm",IKEA of Sweden,51,73,25
20045205,SNIGLAR,Tables & desks,145,No old price,TRUE,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,No,"        Changing table,          72x53 cm",IKEA of Sweden,,87,53
19385677,PAX,Wardrobes,2505,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s19385677/,Yes,"        Wardrobe combination,          150x58x236 cm",Ehlén Johansson/Ola Wihlborg/IKEA of Sweden,58,236,150
10135659,MARIUS,Chairs,25,No old price,TRUE,https://www.ikea.com/sa/en/p/marius-stool-black-10135659/,No,        Stool,Ola Wihlborg,,,40
